|--------------------|--------------------|--------------------|-------|
| weight             | height             | age                | label |
|--------------------|--------------------|--------------------|-------|
|  68.72700594236812 | 151.57145928433673 |  44.96532913848009 |     0 |
|--------------------|--------------------|--------------------|-------|
|  97.53571532049581 |   181.820520563189 |  21.53387852979205 |     1 |
|--------------------|--------------------|--------------------|-------|
|  86.59969709057026 | 165.71779905381632 |  24.78840599197378 |     2 |
|--------------------|--------------------|--------------------|-------|
|  79.93292420985183 | 175.42853455823513 |  55.73927591813733 |     2 |
|--------------------|--------------------|--------------------|-------|
|  57.80093202212183 | 195.37832369630465 |  43.47002050570278 |     2 |
|--------------------|--------------------|--------------------|-------|
|  57.79972601681013 | 162.46461145744374 | 18.386276167898444 |     0 |
|--------------------|--------------------|--------------------|-------|
|  52.90418060840997 | 170.51914615178148 | 22.261804800373348 |     1 |
|--------------------|--------------------|--------------------|-------|
|  93.30880728874675 | 187.77755692715243 |  45.86707430253834 |     1 |
|--------------------|--------------------|--------------------|-------|
|  80.05575058716045 | 161.43990827458111 | 18.212586521541184 |     1 |
|--------------------|--------------------|--------------------|-------|
|  85.40362888980228 | 153.84899549143964 | 24.753938159534943 |     2 |
|--------------------|--------------------|--------------------|-------|
| 51.029224714790125 |  164.4875726456884 |  41.04681915339661 |     0 |
|--------------------|--------------------|--------------------|-------|
|  98.49549260809971 | 158.06106436270022 |  47.05959830309312 |     2 |
|--------------------|--------------------|--------------------|-------|
|  91.62213204002109 | 196.48488261712865 |  45.38237289910922 |     2 |
|--------------------|--------------------|--------------------|-------|
|  60.61695553391381 | 190.40601897822086 |  27.41931099734351 |     1 |
|--------------------|--------------------|--------------------|-------|
|  59.09124836035503 | 181.67018782552117 |   47.9115272965965 |     2 |
|--------------------|--------------------|--------------------|-------|
|  59.17022549267169 |  193.5730295093859 | 27.964461674865603 |     1 |
|--------------------|--------------------|--------------------|-------|
|  65.21211214797688 |  190.1836038449557 | 31.666787322689245 |     0 |
|--------------------|--------------------|--------------------|-------|
